Feature,Importance
211,0.04842062
8553,0.045860637
5819,0.041463964
184,0.04064099
581,0.03940598
8554,0.038903806
5815,0.037492614
723,0.037054837
220179,0.034830514
8549,0.03473077
454,0.032679915
646,0.031927623
8441,0.031870555
618,0.031849504
5817,0.031692076
220181,0.031637736
220045,0.02967757
455,0.029619347
51,0.029177763
52,0.029068502
113,0.028929576
198,0.028638085
456,0.028493444
8368,0.028489113
5820,0.02624323
220210,0.024380412
220180,0.024305658
8551,0.023259876
220277,0.02301728
220051,0.021014236
220050,0.017905803
220052,0.017317995
742,0.0
1125,0.0
224082,0.0
707,0.0
224084,0.0
1703,0.0
617,0.0
479,0.0
227969,0.0
159,0.0
220048,0.0
1484,0.0
31,0.0
432,0.0
674,0.0
1337,0.0
224650,0.0
224080,0.0
